AbortTextChat	c	HUD	0x1AC8F4AD40E22127			CloseMultiplayerChat
Absf	c	MISC	0x73D57CFFDD12C355	number	value:number	
Absi	c	MISC	0xF0D31AD191A74F87	integer	value:integer	
Acos	c	MISC	0x1D08B970013C34B6	number	p0:number	
ActivateAudioSlowmoMode	c	AUDIO	0xD01005D2BA2EB778		mode:string	
ActivateCamWithInterpAndFovCurve	c	CAM	0x34CFC4C2A38E83E3		camTo:Cam,camFrom:Cam,duration:integer,easeLocation:integer,easeRotation:integer,easeFove:integer	
ActivateDamageTrackerOnNetworkId	c	NETWORK	0xD45B1FFCCD52FF19		netID:integer,toggle:boolean	
ActivateDamageTrackerOnPlayer	c	NETWORK	0xBEC0816FF5ACBCDA		player:Player,toggle:boolean	
ActivateFrontendMenu	c	HUD	0xEF01D36B9C9D0C7B		menuhash:Hash,togglePause:boolean,component:integer	
ActivateInteriorEntitySet	c	INTERIOR	0x55E86AF2712B36A1		interior:integer,entitySetName:string	
ActivatePhysics	c	PHYSICS	0x710311ADF0E20730		entity:Entity	
ActivateRockstarEditor	c	REPLAY	0x49DA8145672B2725			
ActivateTimecycleEditor	c	CFX	0xEEB9B76A			
ActivityFeedCreate	c	MISC	0x4DCDF92BF64236CD		captionString:string,condensedCaptionString:string	
AddAMarkerOverVehicle	c	VEHICLE	0x5991A01434CE9677	boolean	plane:Vehicle	ArePlaneWingsIntact
AddAmmoToPed	c	WEAPON	0x78F0424C34306220		ped:Ped,weaponHash:Hash,ammo:integer	
AddAmmoToPedByType	c	WEAPON	0x2472622CE1F2D45F		ped:Ped,ammoType:Hash,ammo:integer	
AddArmourToPed	c	PED	0x5BA652A0CD14DF2F		ped:Ped,amount:integer	
AddAudioSubmixOutput	c	CFX	0xAC6E290D		submixId:integer,outputSubmixId:integer	
AddAuthorizedParachuteModel	c	CFX	0x8AC7AE9		modelNameHash:integer	
AddAuthorizedParachutePackModel	c	CFX	0x2E86DEA5		modelNameHash:integer	
AddBlipForArea	b	HUD	0xCE5D0E5E315DB238	Blip	x:number,y:number,z:number,width:number,height:number	
AddBlipForCoord	b	HUD	0x5A039BB0BCA604B6	Blip	x:number,y:number,z:number	
AddBlipForEntity	b	HUD	0x5CDE92C702A8FCE7	Blip	entity:Entity	
AddBlipForPickup	c	HUD	0xBE339365C863BD36	Blip	pickup:Pickup	
AddBlipForRadius	b	HUD	0x46818D79B1F7499A	Blip	posX:number,posY:number,posZ:number,radius:number	
AddCamSplineNode	c	CAM	0x8609C75EC438FB3B		camera:Cam,x:number,y:number,z:number,xRot:number,yRot:number,zRot:number,length:integer,p8:integer,transitionType:integer	
AddCamSplineNodeUsingCamera	c	CAM	0x0FB82563989CF4FB		cam:Cam,cam2:Cam,length:integer,p3:integer	
AddCamSplineNodeUsingCameraFrame	c	CAM	0x0A9F2A468B328E74		cam:Cam,cam2:Cam,p2:integer,p3:integer	
AddCamSplineNodeUsingGameplayFrame	c	CAM	0x609278246A29CA34		cam:Cam,p1:integer,p2:integer	
