ActivateAudioSlowmoMode	Below is a list of modes and their respective hashes.\n\n| Mode (string)               | Hash               |\n|-----------------------------|--------------------|\n| SLOWMO_BIG_SCORE_JUMP       | 0x2B981B0C         |\n| JSH_EXIT_TUNNEL_SLOWMO      | 0x2562AA6          |\n| SLOW_MO_METH_HOUSE_RAYFIRE  | 0xDB9E1909         |\n| SLOWMO_FIB4\\_TRUCK_SMASH     | 0x9E144347         |\n| SLOWMO_PROLOGUE_VAULT       | 0xEA2E68E1         |\n| SLOWMO_T1\\_RAYFIRE_EXPLOSION | 0xD6D358F3         |\n| SLOWMO_T1\\_TRAILER_SMASH     | 0xBE607345         |\n| BARRY\\_01\\_SLOWMO             | 0xD59540D4         |\n| BARRY\\_02\\_SLOWMO             | 0x12F140B3         |\n| SLOWMO_EXTREME\\_04           | 0xF562EA50         |\n| NIGEL\\_02\\_SLOWMO_SETTING     | 0x384689B0         |\n\n**Parameters**\n- `mode`: A string indicating the audio slow motion mode to use, *see the table*.
ActivateCamWithInterpAndFovCurve	```\nNativeDB Introduced: v3258\n```
ActivateFrontendMenu	Does stuff like this:\\\ngyazo.com/7fcb78ea3520e3dbc5b2c0c0f3712617\\\nExample:\\\nint GetHash = GET_HASH_KEY("fe_menu_version_corona_lobby");\\\nACTIVATE_FRONTEND_MENU(GetHash, 0, -1);\\\nBOOL p1 is a toggle to define the game in pause.\\\nint p2 is unknown but -1 always works, not sure why though.\\\n\\[30/03/2017] ins1de :\\\nthe int p2 is actually a component variable. When the pause menu is visible, it opens the tab related to it.\\\nExample : Function.Call(Hash.ACTIVATE_FRONTEND_MENU,-1171018317, 0, 42);\\\nResult : Opens the "Online" tab without pausing the menu, with -1 it opens the map.\n\nBelow is a list of all known Frontend Menu Hashes.\n\n*   FE_MENU_VERSION_SP_PAUSE\n*   FE_MENU_VERSION_MP_PAUSE\n*   FE_MENU_VERSION_CREATOR_PAUSE\n*   FE_MENU_VERSION_CUTSCENE_PAUSE\n*   FE_MENU_VERSION_SAVEGAME\n*   FE_MENU_VERSION_PRE_LOBBY\n*   FE_MENU_VERSION_LOBBY\n*   FE_MENU_VERSION_MP_CHARACTER_SELECT\n*   FE_MENU_VERSION_MP_CHARACTER_CREATION\n*   FE_MENU_VERSION_EMPTY\n*   FE_MENU_VERSION_EMPTY_NO_BACKGROUND\n*   FE_MENU_VERSION_TEXT_SELECTION\n*   FE_MENU_VERSION_CORONA\n*   FE_MENU_VERSION_CORONA_LOBBY\n*   FE_MENU_VERSION_CORONA_JOINED_PLAYERS\n*   FE_MENU_VERSION_CORONA_INVITE_PLAYERS\n*   FE_MENU_VERSION_CORONA_INVITE_FRIENDS\n*   FE_MENU_VERSION_CORONA_INVITE_CREWS\n*   FE_MENU_VERSION_CORONA_INVITE_MATCHED_PLAYERS\n*   FE_MENU_VERSION_CORONA_INVITE_LAST_JOB_PLAYERS\n*   FE_MENU_VERSION_CORONA_RACE\n*   FE_MENU_VERSION_CORONA_BETTING\n*   FE_MENU_VERSION_JOINING_SCREEN\n*   FE_MENU_VERSION_LANDING_MENU\n*   FE_MENU_VERSION_LANDING_KEYMAPPING_MENU
ActivateInteriorEntitySet	```\nMore info: http://gtaforums.com/topic/836367-adding-props-to-interiors/  \n```
ActivateRockstarEditor	Please note that you will need to call DO_SCREEN_FADE_IN after exiting the Rockstar Editor when you call this.\n\n```\nNativeDB Added Parameter 1: int p0\n```
ActivateTimecycleEditor	Activates built-in timecycle editing tool.
ActivityFeedCreate	Creates and opens a new activity feed post to start filling in.\n\n**Note**: This is a PS4 related native, resulting in a nullsub on the PC platform. This native won't do anything when invoked.\n\n**Parameters**\n- `captionString`: The main text or caption for the activity feed post. This is the primary message displayed in the feed entry.\n- `condensedCaptionString`: A shorter or condensed version of the caption, used in cases where space is limited or a brief summary is required.
AddArmourToPed	```\nSame as SET_PED_ARMOUR, but ADDS 'amount' to the armor the Ped already has.  \n```
AddAudioSubmixOutput	Adds an output for the specified audio submix.\n\n**Parameters**\n- `submixId`: The input submix.\n- `outputSubmixId`: The output submix. Use `0` for the master game submix.
AddAuthorizedParachuteModel	Adds the given model name hash to the list of valid models for the player ped's parachute.\n\n**Parameters**\n- `modelNameHash`: Name hash of the model to allow to be used for the player ped's parachute\n\n**Returns** None.
AddAuthorizedParachutePackModel	Adds the given model name hash to the list of valid models for the player ped's parachute pack.\n\n**Parameters**\n- `modelNameHash`: Name hash of the model to allow to be used for the player ped's parachute pack\n\n**Returns** None.
